date,open,high,low,close,volume,dividend,split
2012-11-01,98.59,98.8,97.13,97.1306,2941200,0.0,1.0
2012-11-02,97.85,98.12,96.04,96.12,2025500,0.0,1.0
2012-11-05,95.76,97.8,95.45,97.73,2199500,0.0,1.0
2012-11-06,97.98,99.6,97.92,98.79,2410300,0.0,1.0
2012-11-07,97.93,98.12,96.06,97.3,2620100,0.0,1.0
2012-11-08,96.96,97.44,94.74,94.74,2906000,0.0,1.0
2012-11-09,94.51,96.2,94.4325,95.46,2542800,0.0,1.0
2012-11-12,95.42,96.16,95.09,95.98,1632800,0.0,1.0
2012-11-13,95.46,96.63,95.25,95.69,2328400,0.0,1.0
2012-11-14,95.6,95.97,94.16,94.47,3587500,0.275,1.0
2012-11-15,94.0,95.88,93.51,95.7,2445500,0.0,1.0
2012-11-16,95.52,96.23,94.64,95.69,3105400,0.0,1.0
2012-11-19,96.68,96.83,95.37,96.5703,2877500,0.0,1.0
2012-11-20,96.79,97.12,96.2,97.12,1783200,0.0,1.0
2012-11-21,97.22,97.4,96.47,96.74,1045500,0.0,1.0
2012-11-23,97.0,97.93,96.56,97.92,671900,0.0,1.0
2012-11-26,97.36,97.53,95.83,96.26,1531200,0.0,1.0
2012-11-27,96.3,97.33,95.77,96.51,2428000,0.0,1.0
2012-11-28,100.4399,102.62,100.0,102.58,10407800,0.0,1.0
2012-11-29,103.08,103.21,101.56,101.88,6360500,0.0,1.0
2012-11-30,102.48,104.5,101.66,103.92,4951400,0.0,1.0
2012-12-03,104.82,104.82,103.901,104.59,4268800,0.0,1.0
2012-12-04,104.55,104.92,104.02,104.4,3850200,0.0,1.0
2012-12-05,104.56,105.97,104.3,105.9483,8470800,0.0,1.0
2012-12-06,98.44,99.63,98.08,98.47,5057500,7.0,1.0
2012-12-07,98.88,99.01,98.17,98.56,3093800,0.0,1.0
2012-12-10,98.9,99.27,98.55,98.95,2317000,0.0,1.0
2012-12-11,99.0,99.65,98.07,98.31,4021200,0.0,1.0
2012-12-12,99.02,99.39,97.25,97.72,5390300,0.0,1.0
2012-12-13,98.05,98.87,97.34,97.8492,2715100,0.0,1.0
2012-12-14,97.0,97.96,96.85,96.9173,2160800,0.0,1.0
2012-12-17,97.01,98.9,97.0001,98.78,2847800,0.0,1.0
2012-12-18,98.9,99.96,98.64,99.8566,2900500,0.0,1.0
2012-12-19,99.49,100.22,98.64,98.68,3153300,0.0,1.0
2012-12-20,99.22,99.43,98.1448,99.2,1964100,0.0,1.0
2012-12-21,98.43,99.55,97.645,99.49,4167700,0.0,1.0
2012-12-24,99.12,99.94,98.78,99.44,933700,0.0,1.0
2012-12-26,99.26,99.7,98.12,98.68,1456300,0.0,1.0
2012-12-27,98.52,98.72,97.13,97.92,2057400,0.0,1.0
2012-12-28,97.17,97.89,96.94,96.97,1651300,0.0,1.0
2012-12-31,96.85,98.93,96.51,98.73,2412700,0.0,1.0
2013-01-02,100.6,101.45,100.215,101.45,3153800,0.0,1.0
2013-01-03,102.11,103.02,101.76,102.49,3872400,0.0,1.0
2013-01-04,102.55,102.91,101.55,102.16,1989000,0.0,1.0
2013-01-07,101.09,101.73,100.9,101.37,1663900,0.0,1.0
2013-01-08,101.0,101.79,100.73,101.18,2189900,0.0,1.0
